cik,accn,form,filingDate,acceptanceDateTime,primaryDocument
0000014693,0000014693-26-000024,10-K,2026-06-12,2026-06-12T20:01:49.000Z,bfb-20260430.htm
0000016918,0000016918-26-000029,10-Q,2026-07-01,2026-07-01T18:00:45.000Z,stz-20260531.htm
0000024545,0000024545-26-000071,10-Q,2026-08-06,2026-08-06T12:47:17.000Z,tap-20260630.htm
0000037996,0000037996-26-000156,10-Q,2026-07-29,2026-07-28T23:29:21.000Z,f-20260630.htm
0000047111,0001628280-26-050900,10-Q,2026-07-30,2026-07-30T14:32:59.000Z,hsy-20260628.htm
0000048465,0000048465-26-000055,10-Q,2026-08-27,2026-08-27T18:06:14.000Z,hrl-20260726.htm
0000063754,0000063754-26-000274,10-Q,2026-06-25,2026-06-25T20:37:02.000Z,mkc-20260531.htm
0000091142,0000091142-26-000098,10-Q,2026-07-30,2026-07-30T20:07:23.000Z,aos-20260630.htm
0000100493,0000100493-26-000058,10-Q,2026-08-03,2026-08-03T11:39:02.000Z,tsn-20260627.htm
0000320187,0000320187-26-000088,10-K,2026-07-15,2026-07-15T20:43:49.000Z,nke-20260531.htm
0000352915,0001193125-26-340278,10-Q,2026-08-07,2026-08-07T20:15:51.000Z,uhs-20260630.htm
0000831001,0000831001-26-000045,10-Q,2026-08-06,2026-08-06T21:14:34.000Z,c-20260630.htm
0000872589,0000872589-26-000025,10-Q,2026-07-30,2026-07-30T10:52:16.000Z,regn-20260630.htm
0000920760,0001628280-26-046019,10-Q,2026-06-29,2026-06-29T20:38:17.000Z,len-20260531.htm
0000922621,0001628280-26-051079,10-Q,2026-07-30,2026-07-30T20:25:58.000Z,erie-20260630.htm
0001001250,0001001250-26-000041,10-K,2026-08-19,2026-08-19T16:29:06.000Z,el-20260630.htm
0001037038,0001628280-26-053992,10-Q,2026-08-06,2026-08-06T14:04:38.000Z,rl-20260627.htm
0001063761,0001104659-26-093360,10-Q,2026-08-10,2026-08-10T20:08:38.000Z,spg-20260630x10q.htm
0001067983,0001193125-26-341032,10-Q,2026-08-10,2026-08-10T10:01:51.000Z,brka-20260630.htm
0001090727,0001628280-26-053249,10-Q,2026-08-05,2026-08-05T19:48:32.000Z,ups-20260630.htm
0001091667,0001091667-26-000052,10-Q,2026-07-24,2026-07-24T11:01:50.000Z,chtr-20260630.htm
0001141391,0001141391-26-000083,10-Q,2026-07-30,2026-07-30T14:28:40.000Z,ma-20260630.htm
0001156375,0001156375-26-000047,10-Q,2026-07-24,2026-07-24T18:43:11.000Z,cme-20260630.htm
0001166691,0001628280-26-049360,10-Q,2026-07-23,2026-07-23T19:11:20.000Z,cmcsa-20260630.htm
0001176948,0001628280-26-054538,10-Q,2026-08-07,2026-08-07T01:06:32.000Z,ares-20260630.htm
0001321655,0001321655-26-000041,10-Q,2026-08-04,2026-08-03T22:06:38.000Z,pltr-20260630.htm
0001324424,0001324424-26-000053,10-Q,2026-08-06,2026-08-05T21:35:59.000Z,expe-20260630.htm
0001326801,0001628280-26-050705,10-Q,2026-07-30,2026-07-29T22:58:51.000Z,meta-20260630.htm
0001327811,0001327811-26-000044,10-Q,2026-08-27,2026-08-27T20:11:42.000Z,wday-20260731.htm
0001381197,0001381197-26-000147,10-Q,2026-08-06,2026-08-06T20:02:00.000Z,ibkr-20260630.htm
0001403161,0001403161-26-000104,10-Q,2026-07-29,2026-07-28T22:08:12.000Z,v-20260630.htm
0001415404,0001104659-26-089370,10-Q,2026-08-03,2026-08-03T10:02:55.000Z,sats-20260630x10q.htm
0001467373,0001467373-26-000032,10-Q,2026-06-18,2026-06-18T10:42:48.000Z,acn-20260531.htm
0001512673,0001628280-26-053368,10-Q,2026-08-05,2026-08-05T20:15:53.000Z,xyz-20260630.htm
0001559720,0001559720-26-000027,10-Q,2026-08-06,2026-08-06T20:04:52.000Z,abnb-20260630.htm
0001561550,0001628280-26-054458,10-Q,2026-08-06,2026-08-06T21:07:33.000Z,ddog-20260630.htm
0001564708,0001564708-26-000175,10-K,2026-08-07,2026-08-07T11:02:44.000Z,nws-20260630.htm
0001571996,0001571996-26-000030,10-Q,2026-06-09,2026-06-09T20:11:41.000Z,dell-20260501.htm
0001652044,0001652044-26-000071,10-Q,2026-07-23,2026-07-23T01:15:54.000Z,goog-20260630.htm
0001671933,0001671933-26-000086,10-Q,2026-08-06,2026-08-06T21:04:13.000Z,ttd-20260630.htm
0001679788,0001679788-26-000088,10-Q,2026-07-30,2026-07-30T20:15:28.000Z,coin-20260630.htm
0001690820,0001690820-26-000055,10-Q,2026-07-29,2026-07-29T20:11:13.000Z,cvna-20260630.htm
0001713445,0001713445-26-000100,10-Q,2026-07-31,2026-07-30T21:42:59.000Z,rddt-20260630.htm
0001751008,0001751008-26-000059,10-Q,2026-08-05,2026-08-05T21:01:18.000Z,app-20260630.htm
0001754301,0001628280-26-053960,10-K,2026-08-06,2026-08-06T13:12:49.000Z,fox-20260630.htm
0001783879,0001783879-26-000114,10-Q,2026-07-30,2026-07-29T21:35:30.000Z,hood-20260630.htm
0001792789,0001792789-26-000050,10-Q,2026-08-05,2026-08-05T20:15:18.000Z,dash-20260630.htm
0001973266,0001193125-26-330592,10-Q,2026-08-03,2026-08-03T16:15:09.000Z,tko-20260630.htm
0002012383,0001193125-26-337177,10-Q,2026-08-06,2026-08-06T14:57:46.000Z,blk-20260630.htm
0002041610,0002041610-26-000054,10-Q,2026-08-04,2026-08-04T21:17:34.000Z,psky-20260630.htm
