cik,accn,form,filing_date,acceptance_datetime,primary_document
0000029534,0001104659-26-101932,10-Q,2026-08-27,2026-08-27T07:04:16.000Z,dg-20260731x10q.htm
0000047217,0000047217-26-000051,10-Q,2026-08-27,2026-08-26T19:04:12.000Z,hpq-20260731.htm
0000048465,0000048465-26-000055,10-Q,2026-08-27,2026-08-27T14:06:14.000Z,hrl-20260726.htm
0000091419,0000091419-26-000080,10-Q,2026-08-26,2026-08-26T20:16:57.000Z,sjm-20260731.htm
0000315189,0001104659-26-102213,10-Q,2026-08-27,2026-08-27T10:03:01.000Z,de-20260802x10q.htm
0000883241,0000883241-26-000025,10-Q,2026-08-26,2026-08-26T21:02:25.000Z,snps-20260731.htm
0000935703,0000935703-26-000109,10-Q,2026-08-27,2026-08-27T06:35:11.000Z,dltr-20260801.htm
0001045810,0001045810-26-000075,10-Q,2026-08-26,2026-08-26T20:36:00.000Z,nvda-20260726.htm
0001108524,0001108524-26-000190,10-Q,2026-08-27,2026-08-26T18:54:46.000Z,crm-20260731.htm
0001327811,0001327811-26-000044,10-Q,2026-08-27,2026-08-27T16:11:42.000Z,wday-20260731.htm
0001393052,0001393052-26-000036,10-Q,2026-08-27,2026-08-27T16:06:56.000Z,veev-20260731.htm
0001403568,0001104659-26-102442,10-Q,2026-08-27,2026-08-27T16:09:11.000Z,ulta-20260801x10q.htm
0001535527,0001535527-26-000031,10-Q,2026-08-27,2026-08-26T21:03:35.000Z,crwd-20260731.htm
