symbol,cik,acceptance_datetime,fact_date,shares_reported,mapping_method,dimension_members,accn,source
CRM,0001108524,2026-08-26T18:54:46.000Z,2026-08-20,823000000.0,ONE_CURRENT_TICKER_ONE_VALUE,,0001108524-26-000190,SEC_LIVE_DELTA
CRWD,0001535527,2026-08-26T21:03:35.000Z,2026-08-20,1023934842.0,ONE_CURRENT_TICKER_ONE_VALUE,,0001535527-26-000031,SEC_LIVE_DELTA
DE,0000315189,2026-08-27T10:03:01.000Z,2026-08-02,269625412.0,ONE_CURRENT_TICKER_ONE_VALUE,,0001104659-26-102213,SEC_LIVE_DELTA
DG,0000029534,2026-08-27T07:04:16.000Z,2026-08-25,220616790.0,ONE_CURRENT_TICKER_ONE_VALUE,,0001104659-26-101932,SEC_LIVE_DELTA
DLTR,0000935703,2026-08-27T06:35:11.000Z,2026-08-25,187630299.0,ONE_CURRENT_TICKER_ONE_VALUE,,0000935703-26-000109,SEC_LIVE_DELTA
HPQ,0000047217,2026-08-26T19:04:12.000Z,2026-08-19,901790969.0,ONE_CURRENT_TICKER_ONE_VALUE,,0000047217-26-000051,SEC_LIVE_DELTA
HRL,0000048465,2026-08-27T14:06:14.000Z,2026-08-23,550350800.0,EXACT_COMMONSTOCKMEMBER,us-gaap:CommonStockMember,0000048465-26-000055,SEC_LIVE_DELTA
NVDA,0001045810,2026-08-26T20:36:00.000Z,2026-08-21,24100000000.0,ONE_CURRENT_TICKER_ONE_VALUE,,0001045810-26-000075,SEC_LIVE_DELTA
SJM,0000091419,2026-08-26T20:16:57.000Z,2026-08-19,106823183.0,ONE_CURRENT_TICKER_ONE_VALUE,,0000091419-26-000080,SEC_LIVE_DELTA
SNPS,0000883241,2026-08-26T21:02:25.000Z,2026-08-24,191636646.0,ONE_CURRENT_TICKER_ONE_VALUE,,0000883241-26-000025,SEC_LIVE_DELTA
ULTA,0001403568,2026-08-27T16:09:11.000Z,2026-08-24,42757471.0,ONE_CURRENT_TICKER_ONE_VALUE,,0001104659-26-102442,SEC_LIVE_DELTA
VEEV,0001393052,2026-08-27T16:06:56.000Z,2026-08-25,161908850.0,ONE_CURRENT_TICKER_ONE_VALUE,,0001393052-26-000036,SEC_LIVE_DELTA
WDAY,0001327811,2026-08-27T16:11:42.000Z,2026-08-25,196000000.0,CLASS_A_OFFICIAL_IDENTITY,us-gaap:CommonClassAMember,0001327811-26-000044,SEC_LIVE_DELTA
