cik,entity_name,taxonomy,tag,unit,fact_end,filed,acceptance_datetime,shares,form,accn,fy,fp,frame
0000001800,ABBOTT LABORATORIES,dei,EntityCommonStockSharesOutstanding,shares,2009-06-30,2009-08-07,2009-08-07T13:27:16.000Z,1545912443.0,10-Q,0001104659-09-048013,2009.0,Q2,CY2009Q2I
0000001800,ABBOTT LABORATORIES,dei,EntityCommonStockSharesOutstanding,shares,2009-09-30,2009-11-06,2009-11-06T15:45:41.000Z,1546738426.0,10-Q,0001104659-09-063192,2009.0,Q3,CY2009Q3I
0000001800,ABBOTT LABORATORIES,dei,EntityCommonStockSharesOutstanding,shares,2010-01-31,2010-02-19,2010-02-19T21:05:52.000Z,1552643385.0,10-K,0001047469-10-001018,2009.0,FY,CY2009Q4I
0000001800,ABBOTT LABORATORIES,dei,EntityCommonStockSharesOutstanding,shares,2010-03-31,2010-05-04,2010-06-09T15:09:34.000Z,1543565059.0,10-Q,0001104659-10-033097,2010.0,Q1,CY2010Q1I
0000001800,ABBOTT LABORATORIES,dei,EntityCommonStockSharesOutstanding,shares,2010-06-30,2010-08-05,2010-08-05T17:33:16.000Z,1544028722.0,10-Q,0001104659-10-042282,2010.0,Q2,CY2010Q2I
0000001800,ABBOTT LABORATORIES,dei,EntityCommonStockSharesOutstanding,shares,2010-09-30,2010-11-05,2010-11-05T17:50:38.000Z,1545815965.0,10-Q,0001104659-10-056473,2010.0,Q3,CY2010Q3I
0000001800,ABBOTT LABORATORIES,dei,EntityCommonStockSharesOutstanding,shares,2011-01-31,2011-02-18,2011-02-18T20:03:18.000Z,1547581805.0,10-K,0001047469-11-001056,2010.0,FY,CY2010Q4I
0000001800,ABBOTT LABORATORIES,dei,EntityCommonStockSharesOutstanding,shares,2011-03-31,2011-05-06,2011-05-06T18:14:37.000Z,1554282988.0,10-Q,0001104659-11-026773,2011.0,Q1,CY2011Q1I
0000001800,ABBOTT LABORATORIES,dei,EntityCommonStockSharesOutstanding,shares,2011-06-30,2011-08-04,2011-08-04T19:04:36.000Z,1556576533.0,10-Q,0001104659-11-043664,2011.0,Q2,CY2011Q2I
0000001800,ABBOTT LABORATORIES,dei,EntityCommonStockSharesOutstanding,shares,2011-09-30,2011-11-04,2011-11-04T18:00:54.000Z,1557795578.0,10-Q,0001104659-11-061064,2011.0,Q3,CY2011Q3I
0000001800,ABBOTT LABORATORIES,dei,EntityCommonStockSharesOutstanding,shares,2012-01-31,2012-02-21,2012-02-21T20:11:18.000Z,1572356859.0,10-K,0001047469-12-001216,2011.0,FY,CY2011Q4I
0000001800,ABBOTT LABORATORIES,dei,EntityCommonStockSharesOutstanding,shares,2012-03-31,2012-05-08,2012-05-08T19:38:12.000Z,1573391467.0,10-Q,0001104659-12-034444,2012.0,Q1,CY2012Q1I
0000001800,ABBOTT LABORATORIES,dei,EntityCommonStockSharesOutstanding,shares,2012-06-30,2012-08-07,2012-08-07T18:37:36.000Z,1569333729.0,10-Q,0001104659-12-055154,2012.0,Q2,CY2012Q2I
0000001800,ABBOTT LABORATORIES,dei,EntityCommonStockSharesOutstanding,shares,2012-09-30,2012-11-07,2012-11-07T19:04:37.000Z,1580667737.0,10-Q,0001104659-12-075249,2012.0,Q3,CY2012Q3I
0000001800,ABBOTT LABORATORIES,dei,EntityCommonStockSharesOutstanding,shares,2013-01-31,2013-02-15,2013-02-15T20:15:07.000Z,1570677029.0,10-K,0001047469-13-001180,2012.0,FY,CY2012Q4I
0000001800,ABBOTT LABORATORIES,dei,EntityCommonStockSharesOutstanding,shares,2013-03-31,2013-05-08,2013-05-08T19:33:31.000Z,1558864658.0,10-Q,0001104659-13-038811,2013.0,Q1,CY2013Q1I
0000001800,ABBOTT LABORATORIES,dei,EntityCommonStockSharesOutstanding,shares,2013-06-30,2013-08-06,2013-08-06T16:33:40.000Z,1554125355.0,10-Q,0001104659-13-060300,2013.0,Q2,CY2013Q2I
0000001800,ABBOTT LABORATORIES,dei,EntityCommonStockSharesOutstanding,shares,2013-09-30,2013-11-07,2013-11-07T21:05:51.000Z,1546185646.0,10-Q,0001104659-13-082270,2013.0,Q3,CY2013Q3I
0000001800,ABBOTT LABORATORIES,dei,EntityCommonStockSharesOutstanding,shares,2014-01-31,2014-02-21,2014-02-21T22:16:35.000Z,1543070300.0,10-K,0001047469-14-001176,2013.0,FY,CY2013Q4I
0000001800,ABBOTT LABORATORIES,dei,EntityCommonStockSharesOutstanding,shares,2014-03-31,2014-05-07,2014-05-07T20:47:07.000Z,1501938538.0,10-Q,0001104659-14-035832,2014.0,Q1,CY2014Q1I
0000001800,ABBOTT LABORATORIES,dei,EntityCommonStockSharesOutstanding,shares,2014-06-30,2014-08-05,2014-08-05T20:32:05.000Z,1503699033.0,10-Q,0001104659-14-056950,2014.0,Q2,CY2014Q2I
0000001800,ABBOTT LABORATORIES,dei,EntityCommonStockSharesOutstanding,shares,2014-09-30,2014-11-06,2014-11-06T22:01:19.000Z,1505790586.0,10-Q,0001104659-14-077769,2014.0,Q3,CY2014Q3I
0000001800,ABBOTT LABORATORIES,dei,EntityCommonStockSharesOutstanding,shares,2015-01-31,2015-02-27,2015-02-27T17:57:49.000Z,1508977828.0,10-K,0001047469-15-001377,2014.0,FY,CY2014Q4I
0000001800,ABBOTT LABORATORIES,dei,EntityCommonStockSharesOutstanding,shares,2015-03-31,2015-05-06,2015-05-06T20:56:54.000Z,1488757318.0,10-Q,0001104659-15-034919,2015.0,Q1,CY2015Q1I
