symbol,cik,name,sector,date_added,date_removed,created_at
A,0001090872,Agilent Technologies,health_care,2000-06-05,,2007-03-05
AA,0000004281,Alcoa Inc,materials,1964-03-31,2016-11-01,2007-03-05
AAL,0000006201,American Airlines Group,industrials,2015-03-23,2024-09-23,2015-03-20
AAP,0001158449,Advance Auto Parts,consumer_discretionary,2015-07-09,2023-08-25,2015-07-09
AAPL,0000320193,Apple Inc.,information_technology,1982-11-30,,2007-03-05
ABBV,0001551152,AbbVie,health_care,2012-12-31,,2013-01-03
ABC,0001140859,AmerisourceBergen,health_care,2001-08-30,2023-09-01,2007-03-05
ABI,0000077551,Applera Corp-Applied Biosystems Group,health_care,2007-03-05,2009-03-07,2007-03-05
ABK,0000874501,Ambac Financial Group,financials,2007-03-05,2008-06-10,2007-03-05
ABMD,0000815094,Abiomed,health_care,2018-05-31,2022-12-22,2018-05-31
ABNB,0001559720,Airbnb,consumer_discretionary,2023-09-18,,2023-09-17
ABT,0000001800,Abbott Laboratories,health_care,1957-03-04,,2007-03-05
ACAS,0000817473,American Capital Strategies Ltd,financials,2008-01-22,2009-03-03,2008-01-22
ACE,0000896159,ACE Limited,financials,2007-03-05,2008-08-21,2007-03-05
ACE,0000896159,ACE Limited,financials,2010-07-15,2016-01-19,2010-07-21
ACGL,0000947484,Arch Capital Group,financials,2022-11-01,,2022-10-31
ACN,0001467373,Accenture,information_technology,2011-07-06,,2011-11-21
ACS,0000002135,Affiliated Computer Services,information_technology,2007-03-05,2020-06-22,2007-03-05
ACT,0000884629,Actavis plc,health_care,2013-01-24,2015-06-15,2013-01-24
ADBE,0000796343,Adobe Inc.,information_technology,1997-05-05,,2007-03-05
ADCT,0000061478,ADC Telecommunications,information_technology,2007-03-05,2007-07-02,2007-03-05
ADI,0000006281,Analog Devices,information_technology,1999-10-12,,2007-03-05
ADM,0000007084,Archer Daniels Midland,consumer_staples,1957-03-04,,2007-03-05
ADP,0000008670,Automatic Data Processing,industrials,1981-03-31,,2007-03-05
ADS,0001101215,Alliance Data Systems,information_technology,2013-12-23,2020-06-22,2013-12-21
ADSK,0000769397,Autodesk,information_technology,1989-12-01,,2007-03-05
ADT,0001546640,ADT Corp,industrials,2012-10-01,2016-05-03,2012-10-03
AEE,0001002910,Ameren,utilities,1991-09-19,,2007-03-05
AEP,0000004904,American Electric Power,utilities,1957-03-04,,2007-03-05
AES,0000874761,AES Corporation,utilities,1998-10-02,,2007-03-05
AET,0001122304,Aetna Inc,health_care,1976-06-30,2018-12-03,2007-03-05
AFL,0000004977,Aflac,financials,1999-05-28,,2007-03-05
AGN,0000850693,Allergan Inc,health_care,1992-02-07,2015-03-23,2007-03-05
AGN,0001578845,"Allergan, plc",health_care,1999-04-12,2020-05-12,2015-06-20
AIG,0000005272,American International Group,financials,1980-03-31,,2007-03-05
AIV,0000922864,Apartment Investment & Management,real_estate,2003-03-14,2020-12-21,2007-03-05
AIZ,0001267238,Assurant,financials,2007-04-10,,2007-04-04
AJG,0000354190,Arthur J. Gallagher & Co.,financials,2016-05-31,,2016-05-27
AKAM,0001086222,Akamai Technologies,information_technology,2007-07-12,,2008-01-22
AKS,0000918160,AK Steel Hldg Corp,materials,2008-08-21,2011-12-16,2008-08-21
ALB,0000915913,Albemarle Corporation,materials,2016-07-01,,2016-07-01
ALGN,0001097149,Align Technology,health_care,2017-06-19,,2017-06-17
ALK,0000766421,Alaska Air Group,industrials,2016-05-13,2023-12-18,2016-05-12
ALL,0000899051,Allstate,financials,1995-07-13,,2007-03-05
ALLE,0001579241,Allegion,industrials,2013-12-02,,2013-12-01
ALTR,0000768251,Altera Corp,information_technology,2007-03-05,2015-12-29,2007-03-05
ALXN,0000899866,Alexion Pharmaceuticals,health_care,2012-05-25,2021-07-21,2012-05-29
AMAT,0000006951,Applied Materials,information_technology,1995-03-16,,2007-03-05
AMCR,0001748790,Amcor,materials,2019-06-07,,2019-06-11
AMD,0000002488,Advanced Micro Devices,information_technology,2007-03-05,2013-09-20,2007-03-05
AMD,0000002488,Advanced Micro Devices,information_technology,2017-03-20,,2017-03-18
AME,0001037868,Ametek,industrials,2013-09-23,,2013-11-03
AMG,0001004434,Affiliated Managers Group Inc,financials,2014-07-01,2019-12-23,2014-06-30
AMGN,0000318154,Amgen,health_care,1992-01-02,,2007-03-05
AMP,0000820027,Ameriprise Financial,financials,2005-10-03,,2007-03-05
AMT,0001053507,American Tower,real_estate,2007-11-19,,2007-11-27
AMTM,0002011286,Amentum,industrials,2024-09-30,2024-12-23,2024-09-30
AMZN,0001018724,Amazon,consumer_discretionary,2005-11-18,,2007-03-05
AN,0000350698,AutoNation Inc,consumer_discretionary,2007-03-05,2017-08-08,2007-03-05
ANDV,0000050104,Andeavor,energy,2007-09-27,2018-10-01,2017-08-02
ANET,0001596532,Arista Networks,information_technology,2018-08-28,,2018-08-29
ANF,0001018840,Abercrombie & Fitch Company A,consumer_discretionary,2008-01-22,2013-12-23,2008-01-22
ANR,0001301063,Alpha Natural Resources,energy,2011-06-09,2012-10-02,2011-06-09
ANSS,0001013462,Ansys,information_technology,2017-06-19,2025-07-18,2017-06-17
ANTM,0001156039,Anthem,health_care,2002-07-25,2022-06-28,2014-12-06
AOC,0000315293,Aon Corporation,financials,2007-03-05,2009-12-31,2007-03-05
AON,0000315293,Aon plc,financials,1996-04-23,,2009-12-31
AOS,0000091142,A. O. Smith,industrials,2017-07-26,,2017-07-26
APA,0001841666,APA Corporation,energy,1997-07-28,,2007-03-05
APC,0000773910,Anadarko Petroleum,energy,1997-07-28,2019-08-09,2007-03-05
APD,0000002969,Air Products,materials,1985-04-30,,2007-03-05
APH,0000820313,Amphenol,information_technology,2008-09-30,,2010-07-12
APO,0001858681,Apollo Global Management,financials,2024-12-23,,2024-12-25
APOL,0000929887,Apollo Group Inc,consumer_discretionary,2007-03-05,2013-07-01,2007-03-05
APP,0001751008,AppLovin,communication_services,2025-09-22,,2025-09-22
APTV,0001521332,Aptiv,consumer_discretionary,2012-12-24,,2017-12-07
ARE,0001035443,Alexandria Real Estate Equities,real_estate,2017-03-20,,2017-03-18
ARES,0001176948,Ares Management,financials,2025-12-11,,2025-12-12
ARG,0000804212,Airgas Inc,materials,2009-09-09,2016-05-23,2010-07-12
ARNC,0000004281,Arconic Inc.,industrials,1964-03-31,2020-04-01,2016-11-01
ASD,0000836102,American Standard,industrials,2007-03-05,2007-11-28,2007-03-05
ASH,0001305014,Ashland Inc.,materials,2007-03-05,2010-07-12,2007-03-05
ASN,0001156826,Archstone-Smith Trust,real_estate,2007-03-05,2008-01-22,2007-03-05
AT,0000065873,ALLTEL Corp.,communication_services,2007-03-05,2007-11-27,2007-03-05
ATI,0001018963,Allegheny Technologies Inc,materials,1978-12-31,2015-07-02,2007-03-05
ATO,0000731802,Atmos Energy,utilities,2019-02-15,,2019-02-15
ATVI,0000718877,Activision Blizzard,communication_services,2015-08-31,2023-10-18,2015-09-03
AV,0001116521,Avaya Inc.,information_technology,2007-03-05,2007-10-26,2007-03-05
AVB,0000915912,AvalonBay Communities,real_estate,2007-01-10,2026-08-17,2007-03-05
AVGO,0001730168,Broadcom,information_technology,2014-05-08,,2014-05-09
AVP,0000008868,Avon Products,consumer_staples,1967-06-30,2015-03-23,2007-03-05
AVY,0000008818,Avery Dennison,materials,1987-12-31,,2007-03-05
AW,0000848865,Allied Waste Industries,industrials,2007-03-05,2009-03-07,2007-03-05
AWK,0001410636,American Water Works,utilities,2016-03-04,,2016-03-03
AXON,0001069183,Axon Enterprise,industrials,2023-05-04,,2023-05-03
AXP,0000004962,American Express,financials,1976-06-30,,2007-03-05
AYE,0000003673,Allegheny Energy Inc,utilities,2007-03-05,2011-02-25,2007-03-05
